=== Crop Risk Tool - Gray leaf spot model ===,,,,,,,,,,,,,,
Generated: 2026-04-07 09:39:24.70215,,,,,,,,,,,,,,
Host: connect.doit.wisc.edu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
=== Site list ===,,,,,,,,,,,,,,
id,name,lat,lng,grid_id,grid_lat,grid_lng,time_zone,date_min,date_max,time_min,time_max,days_expected,days_actual,days_missing
1,"Seymour, WI",44.5306,-88.4135,dpcj7vzzrekrc,44.54945054945055,-88.41798444,America/Chicago,4/1/2025,11/1/2025,4/1/2025 0:20,11/1/2025 23:20,215,215,0
,,,,,,,,,,,,,,
=== Model data ===,,,,,,,,,,,,,,
id,name,lat,lng,date,temperature_min_c,dew_point_min_c,temperature_min_21day_c,dew_point_min_30day_c,probability,risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/1/2025,-4.6,-9,-2.271428571,-6.06,0.001088786,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/2/2025,-0.1,-1.2,-2.204761905,-5.756666667,0.001323845,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/3/2025,1.4,-1.6,-2.019047619,-5.79,0.001286432,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/4/2025,-1.8,-3,-2.242857143,-5.613333333,0.001455694,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/5/2025,0.9,-9.7,-2.280952381,-5.61,0.001460934,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/6/2025,-3.3,-8.6,-2.29047619,-5.55,0.001519796,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/7/2025,-4.4,-12.5,-2.242857143,-5.58,0.001487699,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/8/2025,-6.9,-13.2,-2.685714286,-5.923333333,0.001208875,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/9/2025,-0.9,-5.8,-2.69047619,-6.073333333,0.001096332,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/10/2025,0.7,-1.6,-2.495238095,-5.833333333,0.00127294,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/11/2025,-1.6,-3.7,-2.476190476,-5.736666667,0.001354861,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/12/2025,-1.1,-1.8,-2.314285714,-5.63,0.001443785,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/13/2025,8.8,0.3,-1.742857143,-5.55,0.001489121,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/14/2025,6.5,-0.3,-1.238095238,-5.52,0.001490281,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/15/2025,1.2,-4.9,-0.852380952,-5.31,0.001684722,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/16/2025,-1.6,-8.5,-0.604761905,-5.293333333,0.00168751,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/17/2025,2.3,-8.4,-0.39047619,-5.46,0.001501627,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/18/2025,7.7,6.7,-0.076190476,-5.17,0.001793239,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/19/2025,5.3,-2.5,0.19523809523809524,-4.98,0.00200939,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/20/2025,2.9,1.1,0.38571428571428573,-4.723333333,0.002358639,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/21/2025,4.2,0.2,0.7428571428571429,-4.293333333,0.003080233,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/22/2025,1.2,-0.4,1.019047619047619,-4.116666667,0.003420541,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/23/2025,2.3,0.9,1.1333333333333333,-3.896666667,0.003930525,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/24/2025,8.9,2.4,1.4904761904761905,-3.543333333,0.004881089,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/25/2025,6.3,2.4,1.8761904761904762,-3.193333333,0.006040635,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/26/2025,2.6,0.1,1.957142857142857,-3.076666667,0.006496488,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/27/2025,2.2,-0.2,2.219047619047619,-3.053333333,0.006531951,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/28/2025,8.2,3.8,2.819047619047619,-2.883333333,0.007133514,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/29/2025,3.5,0.6,3.314285714285714,-2.796666667,0.007408938,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,4/30/2025,1.4,-0.8,3.4238095238095236,-2.64,0.008167836,Very low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/1/2025,5.9,3.1,3.6714285714285713,-2.236666667,0.010508096041512727,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/2/2025,5.8,4.8,4.023809523809524,-2.036666667,0.011803262167555131,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/3/2025,5.1,2.7,4.319047619047619,-1.893333333,0.012807157,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/4/2025,3.5,1.1,4.066666666666666,-1.756666667,0.014117082690952857,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/5/2025,7.3,3,4.104761904761904,-1.333333333,0.018506260200693972,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/6/2025,8.9,6.5,4.4714285714285715,-0.83,0.025190832895949197,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/7/2025,7,-0.8,4.8809523809523805,-0.44,0.031792786,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/8/2025,2,-6.9,4.866666666666666,-0.23,0.036317576,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/9/2025,0.2,-3.5,4.5095238095238095,-0.153333333,0.038603345,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/10/2025,7.6,-0.5,4.619047619047619,-0.116666667,0.039347727,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/11/2025,3.6,0.1,4.652380952380953,0.01,0.04254757,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/12/2025,8.3,3,4.847619047619047,0.16999999999999996,0.046690909,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/13/2025,12.8,7.3,5.4,0.40333333333333327,0.052923720375110485,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/14/2025,12.4,12.4,5.880952380952381,0.8266666666666667,0.067492752,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/15/2025,15.1,15,6.1761904761904765,1.49,0.09944163,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/16/2025,12.2,5.5,6.457142857142857,1.9566666666666666,0.12909314225935614,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/17/2025,10.5,6.8,6.833333333333333,2.4633333333333334,0.169106491,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/18/2025,6.4,1.9,7.033333333333333,2.3033333333333332,0.15394682000659957,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/19/2025,3.2,-0.8,6.795238095238095,2.36,0.1600211890312099,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/20/2025,6.1,-1,6.919047619047619,2.29,0.15336807501119556,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/21/2025,6.3,6,7.152380952380953,2.4833333333333334,0.1692710508944256,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/22/2025,6,1.4,7.1571428571428575,2.5433333333333334,0.17482992719849838,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/23/2025,3.8,1.9,7.061904761904762,2.5766666666666667,0.1785145040617624,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/24/2025,3.4,2.7,6.980952380952381,2.5866666666666664,0.17991968639091424,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/25/2025,4.4,4,7.023809523809524,2.64,0.18487796836346107,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/26/2025,5.6,4.1,6.942857142857143,2.7733333333333334,0.19884908890616937,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/27/2025,10.2,1.5,7.004761904761905,2.83,0.20443774964112604,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/28/2025,12.5,4.5,7.266666666666667,2.8533333333333335,0.2053304068101218,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/29/2025,12.2,8.3,7.752380952380952,3.11,0.23081547992026089,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/30/2025,10.5,7.3,8.242857142857142,3.38,0.2600739677547119,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,5/31/2025,5.7,1,8.152380952380952,3.31,0.25200482642337124,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/1/2025,3.8,-0.2,8.161904761904761,3.1433333333333335,0.2319730845599096,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/2/2025,11.3,6.1,8.304761904761905,3.256666666666667,0.2444419844358147,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/3/2025,15.3,11.5,8.423809523809524,3.6033333333333335,0.2877358727273734,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/4/2025,13.3,5.4,8.466666666666667,3.683333333333333,0.2982318237718926,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/5/2025,10.2,5.9,8.233333333333333,3.6633333333333336,0.2973186621330085,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/6/2025,13.2,8.9,8.280952380952382,3.986666666666667,0.3428523780665289,Low risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/7/2025,14.5,6.8,8.471428571428572,4.443333333333333,0.4111228358787375,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/8/2025,12.8,6.5,8.776190476190477,4.776666666666666,0.4618517462285757,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/9/2025,11.6,8.5,9.176190476190476,5.076666666666667,0.5070529964303834,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/10/2025,12.3,10.7,9.471428571428572,5.43,0.5617020031388458,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/11/2025,12.6,10.2,9.771428571428572,5.67,0.597173424,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/12/2025,13.4,7.1,10.123809523809523,5.663333333333333,0.5929575044652333,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/13/2025,11,7,10.466666666666667,5.483333333333333,0.5611444393217755,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/14/2025,11.7,9.9,10.861904761904762,5.3133333333333335,0.529961952,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/15/2025,12.3,10.6,11.238095238095237,5.483333333333333,0.5540483523066868,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/16/2025,12.9,11.7,11.585714285714285,5.6466666666666665,0.5770806943644606,Moderate risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/17/2025,19,15.7,12.004761904761905,6.1066666666666665,0.6446807217503899,High risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/18/2025,18.1,16.6,12.271428571428572,6.6866666666666665,0.7240751078967159,High risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/19/2025,15.8,12.9,12.442857142857143,7.15,0.7792181365642282,High risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/20/2025,15.4,15.2,12.676190476190476,7.456666666666667,0.8104275780512881,High risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/21/2025,22.6,18.3,13.480952380952381,8.02,0.8570330852592186,High risk,,,,
1,"Seymour, WI",44.5306,-88.4135,6/22/2025,25.9,21.2,14.533333333333333,8.663333333333334,0.8977043837563936,High risk,,,,
